# nruns = 10
# regions = True
# lr = 0.01
# rmsize = 1000
# steps = 50
# playouts = 100
# train_size = 100
# epochs = 20
# batch_size = 5
n,epsilon,loss,eval_reach,eval_crash
1,0.1602040816326531,103.95420293807983,332,180
1,0.1418367346938776,86.2897159576416,338,174
1,0.12346938775510208,64.53581266403198,362,150
1,0.10510204081632657,101.01954503059387,368,144
1,0.08673469387755106,90.96885051727295,364,148
1,0.06836734693877555,49.153116250038146,356,156
1,0.05,69.2867636680603,350,162
2,0.95,46.41689853072167,254,258
2,0.9316326530612244,2816.1905265808105,128,384
2,0.9132653061224489,11484.872595214843,296,216
2,0.8948979591836734,11942.742449951173,256,256
2,0.8765306122448979,17895.99786987305,264,248
2,0.8581632653061224,11894.949603271485,130,382
2,0.8397959183673469,5431.338093566895,168,344
2,0.8214285714285714,7086.752838134766,163,349
2,0.8030612244897959,6602.684646606445,128,384
2,0.7846938775510204,7078.933467102051,258,254
2,0.7663265306122449,1988.650065612793,280,232
2,0.7479591836734694,1105.5001022338868,197,315
2,0.7295918367346939,1841.8004066467286,206,306
2,0.7112244897959183,1547.4623893737794,264,248
2,0.6928571428571428,1162.4769912719726,239,273
2,0.6744897959183673,807.8189250946045,215,297
2,0.6561224489795918,1537.8390426635742,290,222
2,0.6377551020408163,573.1301563262939,110,402
2,0.6193877551020408,617.4220212936401,164,348
2,0.6010204081632653,341.1132839202881,198,314
2,0.5826530612244898,352.8592573165894,269,243
2,0.5642857142857143,388.2796605587006,266,246
2,0.5459183673469388,537.4002502441406,281,231
2,0.5275510204081633,255.3180824279785,289,223
2,0.5091836734693878,253.9496449947357,196,316
2,0.49081632653061225,366.99125270843507,188,324
2,0.47244897959183674,358.8135740280151,291,221
2,0.45408163265306123,387.1932731628418,300,212
2,0.4357142857142857,339.3160800933838,301,211
2,0.4173469387755102,150.34534387588502,312,200
2,0.3989795918367347,190.33840017318727,257,255
2,0.3806122448979592,235.5574231147766,238,274
2,0.3622448979591837,54.22037386894226,310,202
2,0.3438775510204082,148.24003109931945,320,192
2,0.32551020408163267,86.0767294883728,347,165
2,0.30714285714285716,81.94629039764405,364,148
2,0.28877551020408165,107.40352296829224,351,161
2,0.27040816326530615,99.37418029308319,364,148
2,0.25204081632653064,104.14400720596313,357,155
2,0.23367346938775513,87.66948769092559,362,150
2,0.21530612244897962,77.01600251197814,352,160
2,0.1969387755102041,64.4576223373413,360,152
2,0.1785714285714286,64.51303310394287,354,158
2,0.1602040816326531,78.50059566497802,355,157
2,0.1418367346938776,56.331784677505496,360,152
2,0.12346938775510208,105.01740312576294,344,168
2,0.10510204081632657,184.5742971420288,356,156
2,0.08673469387755106,67.29903411865234,344,168
2,0.06836734693877555,64.83919749259948,342,170
2,0.05,71.02302761077881,347,165
3,0.95,19.943476516008378,21,491
3,0.9316326530612244,4389.280065917968,128,384
3,0.9132653061224489,9486.174908447265,130,382
3,0.8948979591836734,9187.173553466797,136,376
3,0.8765306122448979,7262.277462768555,142,370
3,0.8581632653061224,11071.102291870116,192,320
3,0.8397959183673469,5822.396264648438,136,376
3,0.8214285714285714,6725.353163623809,113,399
3,0.8030612244897959,1785.4215648651123,204,308
3,0.7846938775510204,1906.161473083496,136,376
3,0.7663265306122449,4144.232998657227,181,331
